四国めたん,黒ひげのこの表情
四国めたん,どんな感情なのかね　「どうせこんなやつがやばい情報持ってくるわけねぇけど能力奪えるし乗ってやるか」の顔？
ずんだもん,読んで字のごとく｢期待を超えなかったら消す｣顔
春日部つむぎ,ハンコックを殺そうとした時も似たような表情してたよね
雨晴はう,とりあえず困った時の顔
四国めたん,黒ひげも2年で邪悪になったな 初期の可愛げはもうない
ずんだもん,頭の中で色々プラン練ってる顔 この時点でカリブーの情報が期待を超えてたパターンと超えてなかったパターンの2つ練ってそう
春日部つむぎ,2年前の時点でヤミヤミ奪う為に親友のサッチ殺してるから元々邪悪だぞ
雨晴はう,ジャヤの時点でサーキースにブルーホールしてたから可愛げなんてないです
四国めたん,普段ヘラヘラしてる分こういう顔が怖いのよ
ずんだもん,カリブーの処遇はどうなるだろうな
春日部つむぎ,そのままの意味で 期待を超えたら喜ぶし期待を超えなかったら消す 読者視点だとカリブーの情報は有益だし信仰レベルの忠誠心だからあんま殺すメリット無さそうだけどな 何なら忠誠心を試してもっとエグいことに利用しそうな印象もある
雨晴はう,海賊島のモブみたいに扱えばいいのになんでわざわざ殺すんだろうか？
四国めたん,生かすメリットも特にないし、情報もらってドン！もあり得る 他に黒ひげのことペラペラ話されても困るし、別のやつに能力与えたっていいし
ずんだもん,捧げるのが“情報”だからなんであろうと下手に生かした結果他勢力にうっかり漏れても困るじゃん？ カリブーってあんま口の固いキャラじゃないからシメられたらあっさり吐きそうだし……
春日部つむぎ,大物感あるというか、かつての白ひげも酒飲んでこういう顔でどっしり構えてた気がする
雨晴はう,情報の裏取りどうすんのかね
四国めたん,大丈夫 邪悪だけどつぶらな瞳をしてる
